xmin_original,ymin_original,xmax_original,ymax_original,score,class
5151,1419,5174,1448,-1,melon
3987,1424,4003,1448,-1,melon
5253,1413,5291,1446,-1,melon
599,1414,630,1441,-1,melon
647,1394,686,1441,-1,melon
926,1412,983,1440,-1,melon
960,1384,1004,1435,-1,melon
5297,1397,5324,1429,-1,melon
4973,1403,5006,1426,-1,melon
4190,1394,4232,1420,-1,melon
4260,1369,4292,1411,-1,melon
5398,1380,5427,1410,-1,melon
1650,1369,1686,1406,-1,melon
1225,1383,1247,1405,-1,melon
3661,1362,3696,1403,-1,melon
915,1364,953,1402,-1,melon
612,1361,655,1402,-1,melon
3625,1353,3653,1397,-1,melon
4064,1354,4094,1395,-1,melon
630,1344,676,1380,-1,melon
5276,1351,5304,1373,-1,melon
4040,1349,4079,1372,-1,melon
3311,1337,3357,1370,-1,melon
275,1331,316,1357,-1,melon
3929,1313,3950,1354,-1,melon
3276,1324,3300,1352,-1,melon
5136,1317,5163,1350,-1,melon
1967,1312,1994,1347,-1,melon
4958,1324,4999,1346,-1,melon
4890,1312,4910,1344,-1,melon
2049,1313,2086,1342,-1,melon
4220,1309,4253,1336,-1,melon
3677,1300,3717,1332,-1,melon
313,1294,344,1329,-1,melon
3657,1285,3688,1327,-1,melon
1237,1304,1261,1327,-1,melon
5382,1301,5429,1326,-1,melon
4021,1294,4064,1319,-1,melon
1217,1290,1240,1316,-1,melon
3599,1271,3632,1306,-1,melon
5275,1280,5308,1302,-1,melon
909,1267,962,1298,-1,melon
5371,1258,5415,1294,-1,melon
277,1261,320,1289,-1,melon
470,1251,507,1287,-1,melon
1334,1268,1360,1287,-1,melon
5163,1257,5192,1282,-1,melon
3297,1253,3349,1281,-1,melon
4046,1252,4081,1281,-1,melon
4950,1248,4986,1280,-1,melon
1188,1252,1215,1278,-1,melon
1317,1253,1344,1275,-1,melon
907,1236,962,1270,-1,melon
1934,1242,1967,1263,-1,melon
5283,1235,5312,1263,-1,melon
3677,1239,3720,1261,-1,melon
3908,1218,3945,1261,-1,melon
3351,1233,3396,1261,-1,melon
2020,1232,2062,1260,-1,melon
3630,1209,3663,1254,-1,melon
1300,1233,1318,1253,-1,melon
1929,1217,1953,1246,-1,melon
4259,1203,4285,1245,-1,melon
605,1201,636,1244,-1,melon
4022,1217,4069,1244,-1,melon
1244,1219,1270,1242,-1,melon
897,1208,939,1238,-1,melon
4228,1198,4256,1238,-1,melon
4954,1211,4987,1237,-1,melon
863,1177,908,1228,-1,melon
2026,1191,2067,1226,-1,melon
1223,1200,1246,1224,-1,melon
5328,1189,5348,1216,-1,melon
270,1185,316,1211,-1,melon
4972,1176,5005,1201,-1,melon
1336,1176,1358,1198,-1,melon
3294,1165,3341,1196,-1,melon
189,1165,220,1195,-1,melon
1671,1160,1721,1192,-1,melon
1366,1166,1394,1190,-1,melon
4824,1172,4849,1187,-1,melon
3652,1147,3692,1180,-1,melon
3255,1127,3290,1171,-1,melon
261,1138,293,1170,-1,melon
574,1126,617,1168,-1,melon
4175,1127,4195,1159,-1,melon
651,1127,698,1158,-1,melon
1303,1132,1324,1155,-1,melon
5308,1126,5338,1155,-1,melon
4226,1110,4248,1154,-1,melon
5276,1130,5310,1152,-1,melon
4249,1116,4285,1150,-1,melon
254,1108,291,1134,-1,melon
4957,1101,4984,1133,-1,melon
1627,1102,1672,1132,-1,melon
1334,1106,1364,1131,-1,melon
1952,1094,1998,1123,-1,melon
594,1095,641,1123,-1,melon
1181,1097,1204,1116,-1,melon
3297,1089,3344,1116,-1,melon
5360,1080,5385,1115,-1,melon
1243,1086,1265,1108,-1,melon
1659,1077,1697,1106,-1,melon
5164,1073,5192,1101,-1,melon
1321,1080,1343,1100,-1,melon
4806,1080,4838,1098,-1,melon
3252,1066,3277,1091,-1,melon
1217,1069,1238,1090,-1,melon
3997,1065,4040,1089,-1,melon
430,1064,457,1086,-1,melon
3879,1064,3924,1085,-1,melon
4172,1057,4213,1083,-1,melon
1242,1062,1266,1083,-1,melon
1291,1058,1315,1081,-1,melon
4238,1047,4272,1077,-1,melon
951,1040,975,1066,-1,melon
5295,1036,5334,1064,-1,melon
649,1024,677,1060,-1,melon
5274,1031,5308,1057,-1,melon
401,1033,434,1057,-1,melon
4895,1034,4908,1054,-1,melon
974,1036,992,1051,-1,melon
1231,1025,1251,1047,-1,melon
597,1012,629,1044,-1,melon
5408,1022,5442,1043,-1,melon
944,1018,970,1040,-1,melon
529,1004,553,1037,-1,melon
850,1008,880,1036,-1,melon
4822,1020,4848,1035,-1,melon
3908,999,3951,1033,-1,melon
1670,994,1718,1027,-1,melon
3640,991,3680,1024,-1,melon
4905,989,4926,1015,-1,melon
588,975,620,1011,-1,melon
4183,977,4233,1006,-1,melon
5308,973,5342,1003,-1,melon
1264,971,1285,995,-1,melon
3584,959,3623,990,-1,melon
885,963,916,988,-1,melon
3702,960,3741,980,-1,melon
1700,941,1739,979,-1,melon
913,955,939,977,-1,melon
1932,938,1967,968,-1,melon
588,925,620,963,-1,melon
2010,923,2036,962,-1,melon
5272,933,5303,957,-1,melon
1328,929,1350,954,-1,melon
5306,923,5347,946,-1,melon
608,910,655,940,-1,melon
285,915,319,940,-1,melon
914,909,945,936,-1,melon
4960,911,4994,933,-1,melon
1844,900,1874,930,-1,melon
266,897,296,928,-1,melon
3982,874,4005,928,-1,melon
4275,898,4320,926,-1,melon
3655,898,3695,923,-1,melon
1977,888,2000,920,-1,melon
1639,897,1664,920,-1,melon
4913,898,4937,919,-1,melon
962,895,987,918,-1,melon
291,889,321,916,-1,melon
630,880,675,915,-1,melon
1223,888,1247,911,-1,melon
5271,882,5309,911,-1,melon
4014,871,4057,910,-1,melon
916,885,944,907,-1,melon
4238,869,4273,906,-1,melon
3454,856,3480,902,-1,melon
1992,878,2020,901,-1,melon
3620,853,3644,898,-1,melon
980,869,1016,898,-1,melon
229,862,257,892,-1,melon
1300,871,1319,891,-1,melon
1174,858,1200,884,-1,melon
592,846,621,883,-1,melon
655,850,692,881,-1,melon
1217,856,1240,879,-1,melon
1652,832,1679,875,-1,melon
1680,831,1716,864,-1,melon
4226,832,4271,863,-1,melon
4962,838,4998,859,-1,melon
5095,833,5139,859,-1,melon
1302,834,1324,855,-1,melon
247,819,278,848,-1,melon
4160,813,4191,844,-1,melon
4030,803,4062,831,-1,melon
3302,793,3327,827,-1,melon
1643,788,1666,817,-1,melon
3618,768,3645,817,-1,melon
4055,777,4073,815,-1,melon
5267,787,5296,813,-1,melon
261,780,295,812,-1,melon
4213,775,4239,811,-1,melon
1664,754,1691,805,-1,melon
608,767,646,804,-1,melon
3645,753,3677,802,-1,melon
351,773,383,802,-1,melon
4976,765,5003,798,-1,melon
4953,766,4983,796,-1,melon
5380,773,5408,795,-1,melon
1425,765,1449,790,-1,melon
5268,765,5295,786,-1,melon
617,744,659,785,-1,melon
3317,756,3348,781,-1,melon
3988,739,4019,781,-1,melon
572,739,610,780,-1,melon
4829,730,4855,761,-1,melon
3293,724,3332,758,-1,melon
5217,723,5251,752,-1,melon
3761,728,3798,751,-1,melon
1409,728,1432,751,-1,melon
4230,720,4273,750,-1,melon
1309,726,1331,748,-1,melon
130,721,159,745,-1,melon
635,713,668,744,-1,melon
903,711,926,736,-1,melon
5261,715,5297,736,-1,melon
4962,711,4989,735,-1,melon
5156,705,5186,724,-1,melon
1294,699,1314,722,-1,melon
3631,689,3671,716,-1,melon
250,682,289,710,-1,melon
559,681,606,708,-1,melon
4951,683,4983,706,-1,melon
1306,683,1327,704,-1,melon
4864,676,4884,703,-1,melon
967,671,994,699,-1,melon
3396,670,3433,692,-1,melon
5262,657,5298,689,-1,melon
888,650,914,678,-1,melon
664,648,710,675,-1,melon
4238,649,4268,675,-1,melon
1312,644,1333,668,-1,melon
1039,640,1062,665,-1,melon
4221,628,4260,663,-1,melon
195,634,226,661,-1,melon
3645,629,3687,658,-1,melon
1569,611,1600,657,-1,melon
1157,633,1179,657,-1,melon
1326,630,1349,653,-1,melon
4191,609,4215,649,-1,melon
3941,601,3980,647,-1,melon
4013,617,4046,645,-1,melon
566,594,592,643,-1,melon
3637,610,3670,641,-1,melon
1431,613,1460,639,-1,melon
1167,611,1194,639,-1,melon
3295,601,3334,634,-1,melon
5280,608,5308,632,-1,melon
628,590,664,631,-1,melon
3629,587,3652,622,-1,melon
253,589,277,617,-1,melon
871,590,898,616,-1,melon
3877,579,3919,609,-1,melon
3234,578,3279,605,-1,melon
962,578,988,603,-1,melon
4945,572,4975,597,-1,melon
5097,578,5132,595,-1,melon
3644,563,3686,588,-1,melon
1670,537,1721,585,-1,melon
967,549,1002,581,-1,melon
4950,556,4982,578,-1,melon
4833,538,4857,573,-1,melon
1577,539,1622,573,-1,melon
4926,548,4953,569,-1,melon
4201,532,4226,568,-1,melon
857,543,880,565,-1,melon
659,499,693,542,-1,melon
4856,509,4876,536,-1,melon
596,502,638,531,-1,melon
3765,502,3798,527,-1,melon
1646,493,1669,526,-1,melon
908,495,942,524,-1,melon
4237,495,4279,524,-1,melon
3189,491,3220,520,-1,melon
3990,497,4026,520,-1,melon
275,487,306,519,-1,melon
833,484,861,517,-1,melon
3944,481,3983,517,-1,melon
3635,486,3674,513,-1,melon
4867,487,4883,508,-1,melon
3282,470,3326,501,-1,melon
907,473,934,497,-1,melon
1642,460,1657,496,-1,melon
4020,464,4050,486,-1,melon
5235,446,5271,478,-1,melon
1320,450,1341,473,-1,melon
634,440,677,471,-1,melon
938,441,958,461,-1,melon
3283,425,3318,460,-1,melon
3979,415,4008,457,-1,melon
1272,431,1292,451,-1,melon
4915,412,4939,450,-1,melon
411,424,438,449,-1,melon
5080,429,5118,449,-1,melon
